tkid,emotion,bustupSprite,miniheadSprite
14,happy,lwnprof_emobustup_14_happy,lwnprof_emomini_14_happy
14,angry,lwnprof_emobustup_14_angry,lwnprof_emomini_14_angry
14,sad,lwnprof_emobustup_14_sad,lwnprof_emomini_14_sad
14,surprised,lwnprof_emobustup_14_surprised,lwnprof_emomini_14_surprised
75,happy,lwnprof_emobustup_75_happy,lwnprof_emomini_75_happy
75,angry,lwnprof_emobustup_75_angry,lwnprof_emomini_75_angry
75,sad,lwnprof_emobustup_75_sad,lwnprof_emomini_75_sad
75,surprised,lwnprof_emobustup_75_surprised,lwnprof_emomini_75_surprised
119,happy,lwnprof_emobustup_119_happy,lwnprof_emomini_119_happy
119,angry,lwnprof_emobustup_119_angry,lwnprof_emomini_119_angry
119,sad,lwnprof_emobustup_119_sad,lwnprof_emomini_119_sad
119,surprised,lwnprof_emobustup_119_surprised,lwnprof_emomini_119_surprised
195,happy,lwnprof_emobustup_195_happy,lwnprof_emomini_195_happy
195,angry,lwnprof_emobustup_195_angry,lwnprof_emomini_195_angry
195,sad,lwnprof_emobustup_195_sad,lwnprof_emomini_195_sad
195,surprised,lwnprof_emobustup_195_surprised,lwnprof_emomini_195_surprised
361,happy,lwnprof_emobustup_361_happy,lwnprof_emomini_361_happy
361,angry,lwnprof_emobustup_361_angry,lwnprof_emomini_361_angry
361,sad,lwnprof_emobustup_361_sad,lwnprof_emomini_361_sad
361,surprised,lwnprof_emobustup_361_surprised,lwnprof_emomini_361_surprised
379,happy,lwnprof_emobustup_379_happy,lwnprof_emomini_379_happy
379,angry,lwnprof_emobustup_379_angry,lwnprof_emomini_379_angry
379,sad,lwnprof_emobustup_379_sad,lwnprof_emomini_379_sad
379,surprised,lwnprof_emobustup_379_surprised,lwnprof_emomini_379_surprised
449,happy,lwnprof_emobustup_449_happy,lwnprof_emomini_449_happy
449,angry,lwnprof_emobustup_449_angry,lwnprof_emomini_449_angry
449,sad,lwnprof_emobustup_449_sad,lwnprof_emomini_449_sad
449,surprised,lwnprof_emobustup_449_surprised,lwnprof_emomini_449_surprised
506,happy,lwnprof_emobustup_506_happy,lwnprof_emomini_506_happy
506,angry,lwnprof_emobustup_506_angry,lwnprof_emomini_506_angry
506,sad,lwnprof_emobustup_506_sad,lwnprof_emomini_506_sad
506,surprised,lwnprof_emobustup_506_surprised,lwnprof_emomini_506_surprised
517,happy,lwnprof_emobustup_517_happy,lwnprof_emomini_517_happy
517,angry,lwnprof_emobustup_517_angry,lwnprof_emomini_517_angry
517,sad,lwnprof_emobustup_517_sad,lwnprof_emomini_517_sad
517,surprised,lwnprof_emobustup_517_surprised,lwnprof_emomini_517_surprised
1152,happy,lwnprof_emobustup_1152_happy,lwnprof_emomini_1152_happy
1152,angry,lwnprof_emobustup_1152_angry,lwnprof_emomini_1152_angry
1152,sad,lwnprof_emobustup_1152_sad,lwnprof_emomini_1152_sad
1152,surprised,lwnprof_emobustup_1152_surprised,lwnprof_emomini_1152_surprised
1153,happy,lwnprof_emobustup_1153_happy,lwnprof_emomini_1153_happy
1153,angry,lwnprof_emobustup_1153_angry,lwnprof_emomini_1153_angry
1153,sad,lwnprof_emobustup_1153_sad,lwnprof_emomini_1153_sad
1153,surprised,lwnprof_emobustup_1153_surprised,lwnprof_emomini_1153_surprised
1154,happy,lwnprof_emobustup_1154_happy,lwnprof_emomini_1154_happy
1154,angry,lwnprof_emobustup_1154_angry,lwnprof_emomini_1154_angry
1154,sad,lwnprof_emobustup_1154_sad,lwnprof_emomini_1154_sad
1154,surprised,lwnprof_emobustup_1154_surprised,lwnprof_emomini_1154_surprised
1162,happy,lwnprof_emobustup_1162_happy,lwnprof_emomini_1162_happy
1162,angry,lwnprof_emobustup_1162_angry,lwnprof_emomini_1162_angry
1162,sad,lwnprof_emobustup_1162_sad,lwnprof_emomini_1162_sad
1162,surprised,lwnprof_emobustup_1162_surprised,lwnprof_emomini_1162_surprised
1163,happy,lwnprof_emobustup_1163_happy,lwnprof_emomini_1163_happy
1163,angry,lwnprof_emobustup_1163_angry,lwnprof_emomini_1163_angry
1163,sad,lwnprof_emobustup_1163_sad,lwnprof_emomini_1163_sad
1163,surprised,lwnprof_emobustup_1163_surprised,lwnprof_emomini_1163_surprised
1172,happy,lwnprof_emobustup_1172_happy,lwnprof_emomini_1172_happy
1172,angry,lwnprof_emobustup_1172_angry,lwnprof_emomini_1172_angry
1172,sad,lwnprof_emobustup_1172_sad,lwnprof_emomini_1172_sad
1172,surprised,lwnprof_emobustup_1172_surprised,lwnprof_emomini_1172_surprised
1173,happy,lwnprof_emobustup_1173_happy,lwnprof_emomini_1173_happy
1173,angry,lwnprof_emobustup_1173_angry,lwnprof_emomini_1173_angry
1173,sad,lwnprof_emobustup_1173_sad,lwnprof_emomini_1173_sad
1173,surprised,lwnprof_emobustup_1173_surprised,lwnprof_emomini_1173_surprised
1174,happy,lwnprof_emobustup_1174_happy,lwnprof_emomini_1174_happy
1174,angry,lwnprof_emobustup_1174_angry,lwnprof_emomini_1174_angry
1174,sad,lwnprof_emobustup_1174_sad,lwnprof_emomini_1174_sad
1174,surprised,lwnprof_emobustup_1174_surprised,lwnprof_emomini_1174_surprised
