StringId,stage,tkid,bustupSprite,miniheadSprite
lord_tk5_0,,0,lwnprof_bustup_0,lwnprof_mini_0
lord_tk5_1,,1,lwnprof_bustup_1,lwnprof_mini_1
lord_tk5_2,,2,lwnprof_bustup_2,lwnprof_mini_2
lord_tk5_3,,3,lwnprof_bustup_3,lwnprof_mini_3
lord_tk5_4,,4,lwnprof_bustup_4,lwnprof_mini_4
lord_tk5_5,,5,lwnprof_bustup_5,lwnprof_mini_5
lord_tk5_6,,6,lwnprof_bustup_6,lwnprof_mini_6
lord_tk5_7,,7,lwnprof_bustup_7,lwnprof_mini_7
lord_tk5_8,,8,lwnprof_bustup_8,lwnprof_mini_8
lord_tk5_9,,9,lwnprof_bustup_9,lwnprof_mini_9
lord_tk5_10,,10,lwnprof_bustup_10,lwnprof_mini_10
lord_tk5_11,,11,lwnprof_bustup_11,lwnprof_mini_11
lord_tk5_12,,12,lwnprof_bustup_12,lwnprof_mini_12
lord_tk5_13,,13,lwnprof_bustup_13,lwnprof_mini_13
lord_tk5_14,军,14,lwnprof_bustup_14,lwnprof_mini_14
lord_tk5_15,,15,lwnprof_bustup_15,lwnprof_mini_15
lord_tk5_16,,16,lwnprof_bustup_16,lwnprof_mini_16
lord_tk5_17,,17,lwnprof_bustup_17,lwnprof_mini_17
lord_tk5_18,,18,lwnprof_bustup_18,lwnprof_mini_18
lord_tk5_19,,19,lwnprof_bustup_19,lwnprof_mini_19
lord_tk5_20,,20,lwnprof_bustup_20,lwnprof_mini_20
lord_tk5_21,,21,lwnprof_bustup_21,lwnprof_mini_21
lord_tk5_22,,22,lwnprof_bustup_22,lwnprof_mini_22
lord_tk5_23,,23,lwnprof_bustup_23,lwnprof_mini_23
lord_tk5_24,,24,lwnprof_bustup_24,lwnprof_mini_24
lord_tk5_25,,25,lwnprof_bustup_25,lwnprof_mini_25
lord_tk5_26,,26,lwnprof_bustup_26,lwnprof_mini_26
lord_tk5_27,,27,lwnprof_bustup_27,lwnprof_mini_27
lord_tk5_28,,28,lwnprof_bustup_28,lwnprof_mini_28
lord_tk5_29,,29,lwnprof_bustup_29,lwnprof_mini_29
lord_tk5_30,,30,lwnprof_bustup_30,lwnprof_mini_30
lord_tk5_31,,31,lwnprof_bustup_31,lwnprof_mini_31
lord_tk5_32,,32,lwnprof_bustup_32,lwnprof_mini_32
lord_tk5_33,,33,lwnprof_bustup_33,lwnprof_mini_33
lord_tk5_34,,34,lwnprof_bustup_34,lwnprof_mini_34
lord_tk5_35,,35,lwnprof_bustup_35,lwnprof_mini_35
lord_tk5_36,,36,lwnprof_bustup_36,lwnprof_mini_36
lord_tk5_37,,37,lwnprof_bustup_37,lwnprof_mini_37
lord_tk5_38,,38,lwnprof_bustup_38,lwnprof_mini_38
lord_tk5_39,,39,lwnprof_bustup_39,lwnprof_mini_39
lord_tk5_40,,40,lwnprof_bustup_40,lwnprof_mini_40
lord_tk5_41,,41,lwnprof_bustup_41,lwnprof_mini_41
lord_tk5_42,,42,lwnprof_bustup_42,lwnprof_mini_42
lord_tk5_43,,43,lwnprof_bustup_43,lwnprof_mini_43
lord_tk5_44,,44,lwnprof_bustup_44,lwnprof_mini_44
lord_tk5_45,,45,lwnprof_bustup_45,lwnprof_mini_45
lord_tk5_46,,46,lwnprof_bustup_46,lwnprof_mini_46
lord_tk5_47,,47,lwnprof_bustup_47,lwnprof_mini_47
lord_tk5_48,,48,lwnprof_bustup_48,lwnprof_mini_48
