ID,Name,Spawn_1554,Spawn_1560,Spawn_1568,Spawn_1575,Spawn_1582,Spawn_1598
string,string,string,string,string,string,string,string
英雄ID,名称,落点_1554,落点_1560,落点_1568,落点_1575,落点_1582,落点_1598
lord_tk5_0,青山忠成,town_tk077,village_tk204,town_tk077,town_tk074,town_tk074,town_tk041
lord_tk5_1,赤池长任,town_tk166,town_tk166,town_tk166,town_tk166,,
lord_tk5_2,赤井直正,town_tk107,town_tk107,town_tk107,town_tk107,,
lord_tk5_3,安西又助,castle_tk261,castle_tk261,castle_tk261,castle_tk261,castle_tk261,castle_tk261
lord_tk5_4,赤尾清纲,town_tk094,town_tk094,town_tk094,,,
lord_tk5_5,明石全登,town_tk133,town_tk133,town_tk133,town_tk131,town_tk131,town_tk131
lord_tk5_6,赤穴盛清,town_tk121,town_tk121,town_tk138,town_tk138,town_tk138,
lord_tk5_7,赤松政秀,town_tk126,town_tk126,town_tk126,,,
lord_tk5_8,赤松义祐,town_tk126,town_tk126,town_tk126,town_tk126,,
lord_tk5_9,秋上久家,town_tk121,town_tk121,village_tk223,village_tk223,,
lord_tk5_10,安艺国虎,town_tk153,town_tk153,town_tk153,,,
lord_tk5_11,秋田实季,town_tk013,town_tk013,town_tk013,town_tk013,town_tk013,town_tk013
lord_tk5_12,秋山虎繁,town_tk069,town_tk069,town_tk069,town_tk087,,
lord_tk5_13,明智秀满,town_tk084,town_tk059,town_tk084,town_tk098,town_tk106,
lord_tk5_14,明智光秀,town_tk084,town_tk059,town_tk084,town_tk098,town_tk106,
lord_tk5_15,浅井井赖,town_tk094,town_tk094,town_tk094,village_tk209,village_tk209,town_tk144
lord_tk5_16,浅井长政,town_tk094,town_tk094,town_tk094,,,
lord_tk5_17,浅井久政,town_tk094,town_tk094,town_tk094,,,
lord_tk5_18,朝仓景镜,town_tk059,town_tk059,town_tk059,,,
lord_tk5_19,朝仓景健,town_tk059,town_tk059,town_tk059,,,
lord_tk5_20,朝仓景恒,town_tk059,town_tk059,town_tk059,,,
lord_tk5_21,朝仓景连,town_tk059,town_tk059,town_tk059,,,
lord_tk5_22,朝仓宗滴,town_tk059,,,,,
lord_tk5_23,朝仓义景,town_tk059,town_tk059,town_tk059,,,
lord_tk5_24,浅野长晟,town_tk080,town_tk080,town_tk084,town_tk084,town_tk127,town_tk069
lord_tk5_25,浅野长政,town_tk080,town_tk080,town_tk084,town_tk096,town_tk127,town_tk069
lord_tk5_26,浅野幸长,town_tk080,town_tk080,town_tk084,town_tk084,town_tk127,town_tk069
lord_tk5_27,朝比奈泰朝,town_tk076,town_tk076,town_tk076,,,
lord_tk5_28,浅利胜赖,town_tk013,town_tk013,town_tk013,town_tk013,town_tk013,
